Time,Temperature
16:30:02.000,24.96
16:40:02.000,24.90
16:50:02.000,24.87
17:00:02.000,24.99
17:10:02.000,24.95
17:20:02.000,24.96
17:30:02.000,25.06
17:40:02.000,25.03
17:50:02.000,25.06
18:00:02.000,24.99
18:10:02.000,25.10
18:20:02.000,25.07
18:30:02.000,25.06
18:40:02.000,25.02
18:50:02.000,24.93
19:00:02.000,24.95
19:10:02.000,24.92
19:20:02.000,25.00
19:30:02.000,24.94
19:40:02.000,25.02
19:50:02.000,24.95
20:00:02.000,24.93
20:10:02.000,28.07
20:20:02.000,24.98
20:30:02.000,24.90
20:40:02.000,25.04
20:50:02.000,24.95
21:00:02.000,24.91
21:10:02.000,24.97
21:20:02.000,24.98
21:30:02.000,25.08
21:40:02.000,24.95
21:50:02.000,24.99
22:00:02.000,25.09
22:10:02.000,25.10
22:20:02.000,25.10
22:30:02.000,25.01
22:40:02.000,25.10
22:50:02.000,25.00
23:00:02.000,24.97
23:10:02.000,25.00
23:20:02.000,24.96
23:30:02.000,25.08
23:40:02.000,25.02
23:50:02.000,25.11
24:00:02.000,25.01
24:10:02.000,25.08
24:20:02.000,25.02
24:30:02.000,25.10
24:40:02.000,24.96
24:50:02.000,24.91
25:00:02.000,24.95
25:10:02.000,24.99
25:20:02.000,24.97
25:30:02.000,25.07
25:40:02.000,25.05
25:50:02.000,24.97
26:00:02.000,24.91
26:10:02.000,25.06
26:20:02.000,24.93
26:30:02.000,24.98
26:40:02.000,25.08
26:50:02.000,25.00
27:00:02.000,24.97
27:10:02.000,24.91
27:20:02.000,24.95
27:30:02.000,24.90
27:40:02.000,25.01
27:50:02.000,25.02
28:00:02.000,25.04
28:10:02.000,24.93
28:20:02.000,24.90
28:30:02.000,25.05
28:40:02.000,24.98
28:50:02.000,25.01
29:00:02.000,24.94
29:10:02.000,25.04
29:20:02.000,25.06
29:30:02.000,25.05
29:40:02.000,25.08
29:50:02.000,24.93
30:00:02.000,25.03
30:10:02.000,25.00
30:20:02.000,25.02
30:30:02.000,24.98
30:40:02.000,24.97
30:50:02.000,24.97
31:00:02.000,25.06
31:10:02.000,25.02
31:20:02.000,24.99
31:30:02.000,24.92
31:40:02.000,24.92
31:50:02.000,24.99
32:00:02.000,24.99
32:10:02.000,25.02
32:20:02.000,25.05
32:30:02.000,24.94
32:40:02.000,25.02
32:50:02.000,25.00
33:00:02.000,25.04
33:10:02.000,24.99
33:20:02.000,25.05
33:30:02.000,25.09
33:40:02.000,28.05
33:50:02.000,24.98
34:00:02.000,25.03
34:10:02.000,25.06
34:20:02.000,24.95
34:30:02.000,24.96
34:40:02.000,25.00
34:50:02.000,24.94
35:00:02.000,24.95
35:10:02.000,25.00
35:20:02.000,25.03
35:30:02.000,24.95
35:40:02.000,25.07
35:50:02.000,24.98
36:00:02.000,25.02
36:10:02.000,25.07
36:20:02.000,25.08
36:30:02.000,24.99
36:40:02.000,25.07
36:50:02.000,24.94
